video_id,as_of_date_utc,viewCount,likeCount,commentCount
tUpbWMEHNDw,2025-09-03,45,8,0
4mBTTxrqWmc,2025-09-03,339,8,0
D2CHAJg0XLk,2025-09-03,23,6,3
XfRrhAGvCXw,2025-09-03,2008,10,0
ynm-64YKr00,2025-09-03,0,0,0
YZAzmaTN2xM,2025-09-03,164,52,8
jg74i2SlYhQ,2025-09-03,67,1,0
sQcE6nSPExw,2025-09-03,236,0,0
rw9GdHkQ8rc,2025-09-03,3227,63,0
XpQBjq8RJRU,2025-09-03,500,6,4
65FtedCamnU,2025-09-03,140,6,8
j1V-bXx-_c0,2025-09-03,1001,21,0
OqZUb5xv7zQ,2025-09-03,1986,0,0
9jdCy811iWg,2025-09-03,1625,17,1
xreMZULIIY8,2025-09-03,1173,12,0
OmPkgDlujoY,2025-09-03,33398,184,0
6Rvg1K6-lDc,2025-09-03,0,0,0
lPGz6Hvl1U8,2025-09-03,11170,100,7
VDWbrSZT7nQ,2025-09-04,1316,0,3
ddcoYo9CPZk,2025-09-04,1272,30,1
EiXmisHKVfY,2025-09-04,1597,0,5
QE65GEnm0pM,2025-09-04,1167,11,0
xAg841H87Mk,2025-09-04,2,1,0
wpMhquyDg10,2025-09-04,815,15,2
E0QnLpSIeek,2025-09-04,1524,15,0
9ZUgLuICggE,2025-09-04,2194,9,0
o8n1Wa0KqMU,2025-09-04,3,2,0
XBvm1FlvEgU,2025-09-04,1457,28,0
k7_gP7baZxA,2025-09-04,1984,19,0
lmzHZNvqO00,2025-09-04,24,1,1
kUfD5LdQclI,2025-09-04,1106,12,0
JIS53JSjY8I,2025-09-04,2,0,0
sYhy-IkPexU,2025-09-04,1091,0,0
bQ6LqCjauPk,2025-09-04,66,2,0
VsOOTyKPUhU,2025-09-04,11,0,1
0-jkxH759cY,2025-09-04,725,12,1
kAh4ive5GqM,2025-09-04,4,1,0
CqwEXSEWYI8,2025-09-04,4,2,0
mHCW98DpJx8,2025-09-04,2939,54,3
PsCMppy_Xbk,2025-09-04,1246,70,9
zef_wdBquPY,2025-09-04,19,0,0
o1F4ZhYdKSk,2025-09-04,361,3,0
YLNAPSALkTI,2025-09-04,735,9,6
_HgbkERnW7c,2025-09-04,129,14,0
PkbwmA3Qu6o,2025-09-04,9,0,0
1SfVIYapcfs,2025-09-04,32119,1216,2
hot8OHt9WOA,2025-09-04,1380,3,0
fIugjmpLysA,2025-09-04,744,104,4
7DJ4sntzjXM,2025-09-04,201215,10413,248
TE3qfIKHaJw,2025-09-04,1358,23,1
Tmw_ST-aQAw,2025-09-04,498,2,1
sIoVuoMBD3Q,2025-09-04,186,0,0
puQpywHG2ds,2025-09-04,46,3,0
yPzk_xEiGGc,2025-09-04,23,9,3
MeVCVoJIXF8,2025-09-04,0,0,0
rEVpoLBhkoA,2025-09-04,0,0,0
11CpzKrGoB4,2025-09-04,575,14,1
qQ9-4pHv5vU,2025-09-04,2194,19,0
Y2Wkx1JfpX4,2025-09-04,1030,9,1
nf7lNfes9P4,2025-09-04,41,0,0
NBaUqoQKsJQ,2025-09-04,581,7,0
2xTxIZsAo1Q,2025-09-04,1726,18,0
xGBs6bapQUI,2025-09-04,1666,11,2
L8fIM6NpFJI,2025-09-04,539,8,2
7R8w76jQ1AY,2025-09-04,945,12,0
bt5ittiJ3nA,2025-09-04,49535,1009,76
_21vcFcImDs,2025-09-04,0,0,0
TRZzC7kDM9M,2025-09-04,2072,17,0
d-jBVlhbL1I,2025-09-04,1134,12,0
LD6qYhkc5KE,2025-09-04,1143,33,5
WkdGrgsmxe8,2025-09-04,1430,2,0
N5P3oEEa-q8,2025-09-04,1264,2,0
o1Ge9-pYNYA,2025-09-04,14684,259,2
J0jkvKfSN50,2025-09-04,0,0,0
VV0vBgNaNFk,2025-09-04,0,0,0
QkkB-7d3DBA,2025-09-04,0,0,0
C-nFNkhrUTA,2025-09-04,433,2,0
EfZJocY0CLM,2025-09-04,5,0,0
qAznAyn1fWo,2025-09-04,18,1,3
mF7KFGRMSsE,2025-09-04,13,3,1
glNjVRynTAo,2025-09-04,1619,13,0
asDLIhIyFGw,2025-09-04,0,0,0
x_qU-Yn_fwo,2025-09-04,949,18,0
Z034leIwD50,2025-09-04,961,11,0
kqPAiVvW9aI,2025-09-04,1486,23,2
-5-9uYMiEHc,2025-09-04,1095,12,0
60Wcy24EHAM,2025-09-04,16,1,0
7jvYyLN5gd8,2025-09-04,7,1,0
wF5qC5xhlt8,2025-09-04,1094,19,1
8H0hc2WvWI4,2025-09-04,2898,209,41
APFA35hQUfw,2025-09-04,2443,17,5
ZEf38NBUFXY,2025-09-04,21966,341,20
b4deB8N2SC4,2025-09-04,8,0,0
50jVOQ7xZWY,2025-09-04,11,2,0
0Tl5Noov-e4,2025-09-04,383,5,0
AwjudQoVuAU,2025-09-04,557,6,0
pCQ0BzCnGko,2025-09-04,9,0,0
63PHA3Q5mDY,2025-09-04,2010,66,13
fq47HqeMZ5w,2025-09-04,394,2,0
hAgKtXNMRdY,2025-09-04,5,1,0
mBWIhGCjXY4,2025-09-04,2391,119,10
sGsd5DSd4jI,2025-09-04,1142,0,0
RI59cF5-L4Y,2025-09-04,12,0,0
cmD5LrOVYsY,2025-09-04,234,1,0
v5JbBoE2Qvw,2025-09-04,1874,13,0
ZzqQa5h2XYs,2025-09-04,1222,14,0
DOOFJZOPSpQ,2025-09-04,3025,62,2
hcSlyIZraKQ,2025-09-04,416,2,0
mGqF3R4gedk,2025-09-04,8,1,0
l5oCZxg-hUw,2025-09-04,69,3,1
au-zAlLswRA,2025-09-04,1264,12,1
caMwGFBC6xI,2025-09-04,3558,121,4
T2tLPzRnXOs,2025-09-04,288,2,1
nX2gtEb122Y,2025-09-04,13,2,0
PfvPWMffTeA,2025-09-04,27096,1754,611
ztUz0XgXojc,2025-09-04,1393,16,0
7DvEKqiFgpE,2025-09-04,26936,301,7
WOvzFSAa9Y8,2025-09-04,4771,272,1
FPWBa6yhjtk,2025-09-04,16,4,3
1FiS4GS0RTQ,2025-09-04,1495,10,0
I-YEAF09v84,2025-09-04,906,10,3
l1juRS03ZJo,2025-09-04,16,3,1
KzyBbHpt__Y,2025-09-04,1650,12,0
thJbvl8iT2w,2025-09-04,910,8,5
IRfXK6kegi0,2025-09-04,1082,8,0
uFqIDPaWBAY,2025-09-04,972,36,0
LitYk1GMj54,2025-09-04,5,1,0
-pTG01Iiquc,2025-09-04,1543,21,0
pZS41akcFk8,2025-09-04,4151,58,4
wePtDyLbwZ4,2025-09-04,28,4,3
ECIwO_bORTU,2025-09-04,1380,47,2
8NkmdTW-PcA,2025-09-04,684,14,2
RpYMHdVjADE,2025-09-04,0,0,0
FstGoJ73PWk,2025-09-04,34962,1244,71
yIVk9OXNfb4,2025-09-04,17,1,0
WSBSu7TVrPg,2025-09-04,1309,247,3
qjxSlReL-lk,2025-09-04,11,1,0
GEmwLj09R9Y,2025-09-04,1716,6,0
TFFpUGr0RUE,2025-09-04,1,0,0
T9nbIDku5zI,2025-09-04,29368,516,10
DceIv12Xm4o,2025-09-04,906,29,2
nTyZNSFEHug,2025-09-04,2,1,0
73rJ_eAvpOA,2025-09-04,13,1,0
5ZECmP9uL9s,2025-09-04,4350,234,3
KXdmq8AvHBQ,2025-09-04,438,0,0
zxVw0pKkjkM,2025-09-04,4326,21,33
A2Yxcp3lBCc,2025-09-04,3369,16,23
CcTtmdPIaqM,2025-09-04,2897,7,10
NtzJKwYFsfQ,2025-09-04,1,0,0
Z5A_Pb2FhmQ,2025-09-04,1411,20,0
_DCvRJaiCcA,2025-09-04,774,3,0
Z54mRiPVMq0,2025-09-04,81,2,7
Hoc51a_bGrA,2025-09-04,2,0,0
L1dAYziPXDM,2025-09-04,5,2,0
UpQxOQKsMUg,2025-09-04,1849,17,0
SBU9XWOFkBM,2025-09-04,1932,17,2
jf7HxRmrU3k,2025-09-04,882,14,3
8QfeHzL6_9Q,2025-09-04,1370,13,3
zvdj756OeXg,2025-09-04,2142,31,0
1mZw2Q2g-To,2025-09-04,1485,10,0
F_uwheCqInE,2025-09-04,53,8,2
r9cFFqtKmlg,2025-09-04,15784,444,9
u3ZP_QIUU10,2025-09-04,1437,6,0
DyazwT05v7w,2025-09-04,620,10,14
hRYX3GRIYbI,2025-09-04,1918,11,0
N8gAKpEe7d0,2025-09-04,4,1,0
piAPibntRlg,2025-09-04,9,2,0
3AeptcBWVo0,2025-09-04,15790,71,0
O8cbYwgixcE,2025-09-04,521,21,7
vcDRubRoEvw,2025-09-04,11,5,0
X-_7-VViuW0,2025-09-04,59,4,0
b0Vwjnbr8zw,2025-09-04,1732,0,0
SLe8fRCDdKQ,2025-09-04,76,6,1
6-7j8fvlu_M,2025-09-04,4725,314,99
qslDdUe2b0U,2025-09-04,2342,59,1
9PMBdXgUqDs,2025-09-04,28,0,2
xS0zlki1FSc,2025-09-04,2064,7,1
7g5RxVjOr3w,2025-09-04,38808,772,46
flSxm9hDo1w,2025-09-04,6,0,0
_Ux4pdfYR1E,2025-09-04,0,0,0
DqujYrleoBc,2025-09-04,1229,15,0
z9uR0QCF-5o,2025-09-04,603,24,5
UNaniuihnjg,2025-09-04,4248,41,2
dj0kLMIA2uE,2025-09-04,69,0,0
KskcIDDWBYA,2025-09-04,8,2,0
LrjephSMZUA,2025-09-04,1182,16,0
yFCRn9J9WJI,2025-09-04,3240,107,0
9c323KoPEVs,2025-09-04,1302,6,0
D95ZWOodFiw,2025-09-04,13285,193,3
-fiNWzJLUFk,2025-09-04,1438,5,2
NXw1vxuhARM,2025-09-04,1547,17,5
onS-xbD6pfI,2025-09-04,855,18,7
eFd_dLXN1-k,2025-09-04,1136,10,2
6VAN7b1wHf4,2025-09-04,4727,370,5
uqUwPpRKlH4,2025-09-04,24,5,1
LoAAo0IhKZU,2025-09-04,193,1,0
bKohDIdXrxY,2025-09-04,1123,14,5
mVREMsqsr8A,2025-09-04,1406,7,0
CVNqO4VlIDQ,2025-09-04,1306,2,0
lnJqS_reA8E,2025-09-04,181,0,1
1lBwowd77iI,2025-09-04,255,2,0
4T006RIhVm8,2025-09-04,1817,15,2
ILwKVgjoXjQ,2025-09-04,746,25,10
YnteKVOHw90,2025-09-04,3,1,0
af7BQnrAfog,2025-09-04,1532,15,0
mcu5FzGpid0,2025-09-04,2686,6,13
d0QMlMgX2DE,2025-09-04,2228,6,7
SLB7UEcfHmY,2025-09-04,4339,11,35
AmiKV0RbNpo,2025-09-04,1640,26,1
mCot3Chr2dM,2025-09-04,33306,105,0
xy5iunOIWYQ,2025-09-04,23333,387,0
xe-DH3q0cdU,2025-09-04,634,9,8
kaXEX0J9-DU,2025-09-04,8,3,0
V3Q8WCEf4oU,2025-09-04,1054,9,0
cOMfIq_Yb40,2025-09-04,1241,6,0
vwt1ro3hHcM,2025-09-04,1205,8,4
9DPdSDQcXKc,2025-09-04,42,1,2
fR4YG7GvMPg,2025-09-04,215,10,5
vs7uB6q4W4o,2025-09-04,22,1,0
2dM3Vxax5fY,2025-09-04,84,0,0
RYpPeT6oEOU,2025-09-04,954,13,4
CU719LDO1Wc,2025-09-04,1505,11,0
utW3Cyz543w,2025-09-04,5682,92,7
kBRfyZOjCZM,2025-09-04,1409,9,0
